"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Карты","Виртуальная карта","0","0","1","0","0"
"","Малый бизнес и ИП","Проверка соцсетей","1","0","2","0","0"
"","Малый бизнес и ИП","Расчетный счет","2","0","0","0","0"
"","Вклады","Проверка допустимых значений суммы вклада","0","0","1","0","0"
"","Вклады","Проверка допустимых значений сроков вклада","0","0","1","0","0"
"","Акции и предложения","Проверка о совпадении кол-ва акции у чекбокса 'Акции' и кол-во карточек с предложениями","0","0","1","0","0"
"","Ипотека","Проверка срока ипотеки и кол-во вкладок по годам в таблице платежей","0","0","1","0","0"
"","Офисы и банкоматы","Проверяем наличие доступных банкоматов","1","0","0","0","0"
